caste;niveau;nom;requis;benefice;techniqueNom;techniqueEffet;note;rulebook
Artisan;1;Apprenti;une Compétence d'Artisanat à 6, Manuel à 4;Le personnage peut développer une Spécialisation de Technique.;D'un compagnon à l'autre;En réussissant un jet de Mental + Artisanat approprié contre une Difficulté de 10, le personnage peut déterminer l'âge, la qualité et le mode de fonctionnement de tout objet manufacturé. Chaque NR lui confère une information supplémentaire.;;livre-de-regles-2e-edition
Artisan;2;Compagnon;une Compétence d'Artisanat à 7, 40 points dans les Compétences Manuelles, Manuel à 5, Maîtrise à 4, Tendance Homme à 1, 2 Privilèges de caste;Le personnage peut développer la Discipline de magie Sorcellerie comme si elle lui était réservée, ainsi qu'une Sphère en rapport avec son artisanat principal, du moment qu'il y trouve un intérêt.;La voie du progrès;En réussissant un jet de Manuel + Coordination contre une Difficulté de 10, le personnage peut comprendre le fonctionnement et utiliser n'importe quel objet mécanique comme s'il possédait la Compétence appropriée à un niveau égal à la moitié de son Attribut Manuel (arrondi au supérieur).;;livre-de-regles-2e-edition
Artisan;3;Artisan;trois Compétences Techniques à 7, 50 points dans les Compétences Manuelles, Manuel à 6, Maîtrise à 6, Tendance Homme ou Dragon à 2, 4 Privilèges de caste;Chaque fois qu'il fait appel aux Tendances, le personnage peut dépenser 1 Point de Chance pour relancer le dé de l'Homme.;L'essence de l'art;Le personnage a la capacité d'améliorer des objets manufacturés dont il possède une connaissance précise. Il doit tout d'abord effectuer un jet d'Intelligence + Artisanat contre une Difficulté de 5 pour déterminer le temps de travail nécessaire. La durée est de 30 + 1D10 jours, mais chaque NR réduit ce délai de 10 jours. Ensuite, il doit réussir un jet de Manuel + Empathie contre une Difficulté de 15 pour conférer à l'objet un bonus définitif égal à 1 + nombre de NR. Ce bonus peut s'appliquer à l'efficacité ou à la maniabilité d'une arme (bonus aux dommages ou au toucher), ainsi qu'à toutes sortes d'outils, d'instruments et de mécanismes connus du personnage. Une seule amélioration du même type est possible par arme, et chaque nouvelle amélioration augmente de 5 la Difficulté de ces jets.;;livre-de-regles-2e-edition
Artisan;4;Maître Artisan;une Compétence d'Artisanat à 10, deux Compétences Pratiques à 6, 60 points dans les Compétences Manuelles, Manuel à 7, Tendance Homme ou Dragon à 3, 5 Privilèges de caste;Le personnage peut apprendre les sorts de Magie instinctive et de Sorcellerie au même coût que les mages.;L'esquisse du destin;La maîtrise du personnage est telle qu'il peut inventer des méthodes de travail auxquelles nul n'aurait jamais songé. Il doit pour cela réussir un jet d'Intelligence + Compétence contre une Difficulté de 15 pour chaque Compétence nécessaire à la réalisation de l'objet (par exemple, Armes mécaniques et Forge pour créer une arbalète). La somme de tous les NR vient ensuite s'ajouter au bonus du jet de Manuel + Artisanat que le joueur doit réussir contre une Difficulté variant en fonction de la complexité, de la taille et de l'efficacité de l'objet. Si un seul de ces jets est raté, la création échoue.;;livre-de-regles-2e-edition
Artisan;5;Grand Maître Artisan;une Compétence d'Artisanat à 12, trois Compétences Pratiques à 6, Manuel à 9, Tendance Homme ou Dragon à 4, 5 Privilèges de caste;À chacun de ses jets, le personnage lance et conserve un dé supplémentaire de l'Homme qui ne lui rapporte aucun Point de Tendance, et ce quelle que soit son affiliation.;La force du rouage;En dépensant 1 Point de Maîtrise, le personnage peut utiliser son Attribut Manuel à la place de n'importe quel autre Attribut. Si le jet est réussi, il le regagne aussitôt.;À ce Statut, les artisans se présentent généralement comme les Maîtres de leur art (Maître Forgeron, par exemple). Il n'y a qu'un seul Maître par voie.;livre-de-regles-2e-edition
Combattant;1;Apprenti;une Compétence d'arme à 6, Physique à 4;Le personnage peut développer une Spécialisation de Combat.;L'œil du maître;En réussissant un jet de Mental + Compétence d'arme de l'adversaire contre une Difficulté de 10, le personnage peut déterminer si le niveau de Compétence d'arme de son adversaire est inférieur, supérieur ou égal au sien. Chaque Niveau de Réussite peut lui donner une indication sur la technique utilisée (botte secrète, Technique spéciale, etc.).;;livre-de-regles-2e-edition
Combattant;2;Spadassin;une Compétence d'arme à 8, Physique à 5, Maîtrise à 4, 30 points dans les Compétences Physiques, une Tendance à 2, 3 Privilèges de caste;Le personnage peut posséder jusqu'à trois Spécialisations : deux d'une même catégorie et une d'une autre catégorie.;La main du maître;Une fois par combat, le personnage peut ajouter la valeur de son Attribut Physique au résultat de l'un de ses dés d'Initiative, du moment qu'il annonce l'utilisation de cette Technique avant de lancer ses dés.;;livre-de-regles-2e-edition
Combattant;3;Combattant;une Compétence d'arme à 9, deux Compétences d'arme à 6, Physique à 6, Maîtrise à 6, 40 points dans les Compétences Physiques, une Tendance à 3, 4 Privilèges de caste;Le personnage peut porter une attaque supplémentaire sans pénalité à chaque tour de combat.;La puissance du maître;Lorsqu'il combat avec une arme dans laquelle il s'est spécialisé, le personnage lance un dé supplémentaire pour déterminer les dommages.;;livre-de-regles-2e-edition
Combattant;4;Maître d'armes;une Compétence d'arme à 10, Physique à 7, Manuel à 5, Maîtrise à 8, Coordination à 6, 45 points dans les Compétences Physiques, une Tendance à 4, 6 Privilèges de caste;Lorsqu'il combat un adversaire maniant une arme utilisant la même Compétence que celle (ou celles) dans laquelle il s'est spécialisé, le personnage gagne un bonus de 2 à tous ses jets d'attaque et de parade.;La voie du maître;Lorsqu'il combat, le personnage n'est pas soumis à la règle des Tendances et peut conserver n'importe quel dé sans gagner ni perdre de Points de Tendance (sauf dans le cas d'une réussite critique).;;livre-de-regles-2e-edition
Combattant;5;Grand maître d'armes;une Compétence d'arme à 12, Physique à 8, Maîtrise à 10, 50 points dans les Compétences Physiques, une Tendance à 5;La Difficulté de tous ses jets de combat est réduite de 5 lorsque le personnage utilise son arme de prédilection. De plus, il ne peut être ni désarmé, ni abusé par une feinte d'arme de la même famille que la sienne.;La maîtrise parfaite;Le personnage ne peut subir d'échec critique lorsqu'il utilise son arme de prédilection. Tous les « 1 » obtenus sur un jet de combat sont donc relancés.;À ce Statut, les combattants peuvent tenter de devenir Maître de l'arme dont ils ont fait leur spécialité (Maître des Épées, par exemple). Il n'existe qu'un seul Maître par famille d'armes parmi les Grands Maîtres d'Armes, et l'obtention de ce titre passe par un duel public.;livre-de-regles-2e-edition
