id;type;nom;rarete;cout;description;effetJeu;precision;evolutif;rulebook
anomalie;Désavantage;Anomalie;Commun;2;Le personnage est affligé d'une tare de naissance. Il peut s'agir d'une anomalie physique (albinos, main atrophiée, yeux dépareillés, tache de naissance disgracieuse, etc.), d'un défaut de prononciation, etc. Ce Désavantage augmente de 3 la Difficulté de toutes les actions sociales avec des inconnus et des tentatives de séduction.;Difficulté augmentée de 3 sur toutes les actions sociales avec des inconnus et sur les tentatives de séduction.;Nature de l'anomalie;;livre-de-regles-2e-edition
complexe-d-inferiorite;Désavantage;Complexe d'infériorité;Commun;3;Désabusé, le personnage ne croit plus guère en ses capacités. Face à une situation particulièrement délicate, il se sentira irrémédiablement faible et incompétent. Ce Désavantage fonctionne de deux manières. Tout d'abord, il reçoit une Difficulté supplémentaire de 5 à tous les jets qu'il tentera au cours d'une situation de crise (empêcher un compagnon de tomber au fond d'un gouffre, atteindre d'une flèche un ennemi sur le point de tuer un compagnon, etc.). Ensuite, le meneur de jeu peut décider que le personnage est tout simplement incapable d'accomplir une action capitale. Dans ce cas, le personnage gagne automatiquement deux Points d'Expérience et voit ses Points de Chance remonter à leur niveau maximum (bien qu'il soit impossible d'utiliser des Points de Chance pour tenter de réussir cette action). Le Complexe d'infériorité peut disparaître si le personnage réussit une action particulièrement importante pour sa survie ou celle de son groupe.;Difficulté augmentée de 5 sur tous les jets tentés au cours d'une situation de crise. Le meneur de jeu peut aussi déclarer le personnage incapable d'accomplir une action capitale : le personnage gagne alors deux Points d'Expérience et remonte ses Points de Chance au maximum, sans pouvoir en dépenser pour réussir cette action. Le Désavantage peut disparaître si le personnage réussit une action particulièrement importante pour sa survie ou celle de son groupe.;;oui;livre-de-regles-2e-edition
dette;Désavantage;Dette;Commun;1/2;Le personnage est redevable d'une faveur ou d'une somme d'argent à un individu qui l'a aidé par le passé. Les détails de ce service rendu sont laissés à la discrétion du joueur et du meneur de jeu. Pour 1 point, la dette concerne une petite somme ou une faveur minime. Pour deux points, il peut s'agir soit d'une dette importante (forte somme ou faveur conséquente), soit d'une dette dont le destinataire prendra soin de récupérer sans ménager le personnage (par la force ou le chantage, en provoquant un scandale, etc.). Un scénario (ou un chapitre) spécifique devra toujours accompagner le remboursement. Ce Désavantage peut survenir plusieurs fois.;1 point : petite somme ou faveur minime. 2 points : dette importante, ou créancier qui la récupérera sans ménager le personnage (force, chantage, scandale). Le remboursement demande toujours un scénario ou un chapitre dédié. Peut être pris plusieurs fois.;Créancier et nature de la dette;oui;livre-de-regles-2e-edition
echec;Désavantage;Échec;Commun;3;Le poids d'une expérience douloureuse pèse cruellement sur les épaules du personnage. Par le passé, il a lamentablement raté une action qu'il jugeait capitale et cet échec ne cesse de le tourmenter. C'est au joueur de définir le type d'action qui a provoqué ce sentiment d'échec : combat singulier, rituel magique, discussion importante, etc. Chaque fois qu'il sera confronté à une situation similaire, le personnage se sentira tellement incapable que la Difficulté de tous ses jets en rapport sera augmentée de 5.;Difficulté augmentée de 5 sur tous les jets liés au type d'action défini par le joueur, chaque fois qu'une situation similaire se présente.;Type d'action ratée;oui;livre-de-regles-2e-edition
emotif;Désavantage;Émotif;Commun;3;Certains êtres humains ont une sensibilité tellement développée qu'ils supportent mal les situations de conflit, les visions d'horreur et les périodes de pression intenses. Confronté à une telle situation, le personnage perd son sang-froid et voit la Difficulté de tous ses jets de Volonté augmenter de 5. Les jets d'Intimidation, de Commandement et d'autres actions liées à l'Influence reçoivent un bonus de 2 lorsqu'ils sont employés sur ce personnage.;En situation de conflit, d'horreur ou de forte pression : Difficulté augmentée de 5 sur tous les jets de Volonté, et bonus de 2 aux jets d'Intimidation, de Commandement et d'Influence employés sur le personnage.;;oui;livre-de-regles-2e-edition
ennemi;Désavantage;Ennemi;Commun;3;Ce Désavantage impose un ennemi juré au personnage, un ennemi qui ne manquera aucune occasion de lui nuire. L'ennemi est un plus qu'un simple personnage dont on pourrait se débarrasser d'un coup d'épée. L'ennemi peut aussi être une rumeur circulant au sein de la caste du personnage, une rancune que lui voue un groupe ou un avis défavorable qui l'empêchera de progresser dans la voie qu'il a choisie. Ce Désavantage peut disparaître si le personnage réussit à tuer son ou ses ennemis, mais aussi s'il parvient à prouver sa valeur, à dissiper les rumeurs dont il fait l'objet. Ce Désavantage peut survenir plusieurs fois.;L'ennemi nuit au personnage à chaque occasion. Ce peut être une personne, mais aussi une rumeur dans sa caste, la rancune d'un groupe ou un avis défavorable qui bloque sa progression. Disparaît si le personnage tue son ennemi, prouve sa valeur ou dissipe les rumeurs. Peut être pris plusieurs fois.;Nature de l'ennemi;oui;livre-de-regles-2e-edition
faiblesse;Désavantage;Faiblesse;Commun;2;Le personnage est incapable de résister à l'appel d'un phénomène particulier - qu'il s'agisse des charmes d'une jolie femme, d'un défi à relever, de dangers à braver, etc. Chaque fois que le personnage se trouvera confronté à la situation définie par le joueur, il cédera immanquablement à son penchant. Il pourra s'y soustraire par un jet de Mental + Volonté contre une Difficulté de 20 (ou de 15, si le meneur de jeu estime que l'action est particulièrement dangereuse).;Le personnage cède au penchant défini par le joueur. Il y résiste par un jet de Mental + Volonté contre une Difficulté de 20, ramenée à 15 si le meneur de jeu estime l'action particulièrement dangereuse.;Objet de la faiblesse;oui;livre-de-regles-2e-edition
fragilite;Désavantage;Fragilité;Commun;2;La santé du personnage est mauvaise, tout comme sa faculté de rétablissement, sa résistance aux poisons et son système immunitaire. Tous ses jets de résistance aux agressions extérieures (maladies, poisons, alcool, etc.) voient leur Difficulté augmenter de 5.;Difficulté augmentée de 5 sur tous les jets de résistance aux agressions extérieures (maladies, poisons, alcool, etc.).;;;livre-de-regles-2e-edition
interdit;Désavantage;Interdit;Commun;3;Le personnage a décidé de moduler sa philosophie en prenant en compte un Interdit d'une autre caste. Il peut s'agir d'une promesse faite à un maître ou un ami, d'une conviction personnelle, d'une crise passagère de croyance. Le joueur doit veiller à choisir un Interdit qui ne soit pas trop proche de l'Interdit de son personnage. Ce Désavantage peut survenir plusieurs fois.;Le personnage respecte en plus un Interdit d'une autre caste, à choisir assez loin de celui de sa propre caste. Peut être pris plusieurs fois.;Interdit choisi;;livre-de-regles-2e-edition
maladie;Désavantage;Maladie;Commun;1/3/5;Le personnage a contracté par le passé une maladie chronique. Elle peut survenir par crise et se soigne difficilement. Les crises surviennent tous les 1D10 jours (le meneur de jeu tiendra le compte en secret). À 1 point, la maladie est bénigne (allergie, urticaire, etc.) et entraîne un malus de -1 pour la demi-journée. À 3 points, la maladie est sérieuse et gênante (migraines, vertiges, ulcère, etc.). Elle entraîne un malus de -3 pour 1D10 heures. À 5 points, la maladie est sévère et handicapante (malaria, maladie du sommeil, etc.). Elle entraîne un malus de -5 pour 1D10 heures. Ce Désavantage peut survenir plusieurs fois.;Crises tous les 1D10 jours, comptés en secret par le meneur de jeu. 1 point : maladie bénigne, malus de -1 pour la demi-journée. 3 points : maladie sérieuse et gênante, malus de -3 pour 1D10 heures. 5 points : maladie sévère et handicapante, malus de -5 pour 1D10 heures. Peut être pris plusieurs fois.;Nature de la maladie;oui;livre-de-regles-2e-edition
