id;categorie;mains;nom;degats;prerequis;initMelee;initCaC;diffCreation;tempsCreation;special;porteeEff;porteeMax
epee-courte;Armes tranchantes;Une main;Épée courte;FOR + 8 + 1D10;FOR 3;0;0;15;3;;;
epee-vulgaire;Armes tranchantes;Une main;Épée vulgaire;FOR + 10 + 1D10;FOR 4;1;0;15;3;;;
epee-longue;Armes tranchantes;Une main;Épée longue;FOR + 12 + 1D10;FOR 5;2;-2;15;4;;;
epee-large;Armes tranchantes;Une main;Épée large;FOR + 14 + 1D10;FOR 5;0;-2;15;4;;;
epee-duel;Armes tranchantes;Une main;Épée de duel;FOR + 8 + 1D10;FOR 4;2;0;20;6;Perforation;;
sabre;Armes tranchantes;Une main;Sabre;FOR + 9 + 1D10;FOR 3, COO 4;1;0;15;5;;;
fauchard;Armes tranchantes;Une main;Fauchard;FOR + 11 + 1D10;FOR 4, COO 4;1;0;15;5;;;
cimeterre;Armes tranchantes;Une main;Cimeterre;FOR + 13 + 1D10;FOR 5, COO 4;1;-1;15;5;;;
epee-batarde;Armes tranchantes;Deux mains;Épée bâtarde;(FOR * 2) + 8 + 1D10;FOR 5;2;0;15;5;;;
epee-deux-mains;Armes tranchantes;Deux mains;Épée à deux mains;(FOR * 2) + 11 + 1D10;FOR 6;1;0;20;5;;;
cimeterre-deux-mains;Armes tranchantes;Deux mains;Cimeterre à deux mains;(FOR * 2) + 13 + 1D10;FOR 7, COO 5;1;0;20;5;;;
hachette;Armes de choc;Une main;Hachette;FOR + 10 + 1D10;FOR 4, COO 4;-1;1;10;2;;;
hache;Armes de choc;Une main;Hache;FOR + 15 + 1D10;FOR 5, COO 5;-1;0;15;3;;;
hache-double;Armes de choc;Une main;Hache double;FOR + 15 + 1D10;FOR 5, COO 6;0;0;15;4;;;
pic-de-guerre;Armes de choc;Une main;Pic de guerre;FOR + 6 + 1D10;FOR 3, COO 6;-1;1;10;3;Armure divisée par 2;;
bec-de-corbin;Armes de choc;Une main;Bec de corbin;FOR + 10 + 1D10;FOR 5, COO 7;-1;0;10;4;Armure divisée par 2;;
hache-justice;Armes de choc;Deux mains;Hache de justice;(FOR * 2) + 15 + 1D10;FOR 6, COO 4;-2;0;20;4;;;
hache-deux-mains;Armes de choc;Deux mains;Hache à deux mains;(FOR * 2) + 16 + 1D10;FOR 6, COO 6;-2;0;15;4;;;
hache-double-deux-mains;Armes de choc;Deux mains;Hache double à deux mains;(FOR * 2) + 17 + 1D10;FOR 7, COO 6;-1;0;20;5;;;
pioche-guerre;Armes de choc;Deux mains;Pioche de guerre;(FOR * 2) + 12 + 1D10;FOR 6, COO 6;-1;0;15;5;Armure divisée par 2;;
gourdin;Armes contondantes;Une main;Gourdin;(FOR * 2) + 1D10;FOR 3;0;0;0;0;+10 pour assomer;;
gourdin-ferre;Armes contondantes;Une main;Gourdin ferré;(FOR * 2) + 2 + 1D10;FOR 4;-1;0;10;1;+5 pour assomer;;
masse-armes;Armes contondantes;Une main;Masse d'armes;(FOR * 2) + 4 + 1D10;FOR 4;0;-1;15;4;;;
masse-ailettes;Armes contondantes;Une main;Masse à ailettes;(FOR * 2) + 6 + 1D10;FOR 5, COO 5;0;-1;15;5;;;
masse-pointes;Armes contondantes;Une main;Masse à pointes;(FOR * 2) + 8 + 1D10;FOR 6, COO 6;-1;0;15;5;;;
massue-ferree;Armes contondantes;Deux mains;Massue ferrée;(FOR * 3) + 5 + 1D10;FOR 5;0;0;15;1;;;
masse-deux-mains;Armes contondantes;Deux mains;Masse à deux mains;(FOR * 3) + 7 + 1D10;FOR 6, COO 6;-1;0;15;6;;;
marteau-deux-mains;Armes contondantes;Deux mains;Marteau à deux mains;(FOR * 3) + 9 + 1D10;FOR 7;-3;0;15;4;Permet de renverser en mêlée;;
